deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
1.01,1,Ningaloo Marine Park,-22.84786205,113.5404917,50,2019-08-12T09:23:00Z,2019-08-12T09:23:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
1.02,1,Ningaloo Marine Park,-22.85016136,113.5252875,50,2019-08-12T09:35:00Z,2019-08-12T09:35:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
1.03,1,Ningaloo Marine Park,-22.84437,113.51304,50,2019-08-12T09:43:00Z,2019-08-12T09:43:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
1.04,1,Ningaloo Marine Park,-22.8402743,113.5183981,50,2019-08-12T09:51:00Z,2019-08-12T09:51:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
1.05,1,Ningaloo Marine Park,-22.83417,113.51601,50,2019-08-12T09:58:00Z,2019-08-12T09:58:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
1.06,1,Ningaloo Marine Park,-22.83153691,113.523387,50,2019-08-12T10:06:00Z,2019-08-12T10:06:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
2.02,2,Ningaloo Marine Park,-22.83153691,113.5625852,50,2019-08-12T11:47:00Z,2019-08-12T11:47:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
2.03,2,Ningaloo Marine Park,-22.82900766,113.5659111,50,2019-08-12T11:57:00Z,2019-08-12T11:57:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
2.04,2,Ningaloo Marine Park,-22.82440903,113.5815904,50,2019-08-12T12:05:00Z,2019-08-12T12:05:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
2.05,2,Ningaloo Marine Park,-22.82256957,113.5770767,50,2019-08-12T12:12:00Z,2019-08-12T12:12:00Z,,,Canon Legria HFG25,,,,,,,true,,Cover of benthos and score of complexity,,,
