observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,taxonID,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
1.01-points-0,1.01,1.01_L373,e_1.01,2019-08-12T09:31:51,2019-08-12T09:31:52,media,animal,,37384092.0,caudimacula,1,adult,,,ind_0_1.01_L373,,,,,,,,human,,,,,
1.01-points-1,1.01,1.01_L373,e_1.01,2019-08-12T09:33:50,2019-08-12T09:35:50,media,animal,,37390005.0,nebulosa,1,adult,,,ind_1_1.01_L373,,,,,,,,human,,,,,
1.01-points-2,1.01,1.01_L373,e_1.01,2019-08-12T09:33:50,2019-08-12T09:35:50,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_2_1.01_L373,,,,,,,,human,,,,,
1.01-points-3,1.01,1.01_L373,e_1.01,2019-08-12T09:33:50,2019-08-12T09:35:50,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_3_1.01_L373,,,,,,,,human,,,,,
1.01-points-4,1.01,1.01_L373,e_1.01,2019-08-12T09:34:45,2019-08-12T09:37:39,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_4_1.01_L373,,,,,,,,human,,,,,
1.01-points-5,1.01,1.01_L373,e_1.01,2019-08-12T09:34:52,2019-08-12T09:37:54,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_5_1.01_L373,,,,,,,,human,,,,,
1.01-points-6,1.01,1.01_L373,e_1.01,2019-08-12T09:34:52,2019-08-12T09:37:54,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_6_1.01_L373,,,,,,,,human,,,,,
1.01-points-7,1.01,1.01_L373,e_1.01,2019-08-12T09:34:52,2019-08-12T09:37:54,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_7_1.01_L373,,,,,,,,human,,,,,
1.01-points-8,1.01,1.01_L373,e_1.01,2019-08-12T09:34:54,2019-08-12T09:37:57,media,animal,,37390005.0,nebulosa,1,adult,,,ind_8_1.01_L373,,,,,,,,human,,,,,
1.01-points-9,1.01,1.01_L373,e_1.01,2019-08-12T09:35:40,2019-08-12T09:39:31,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_9_1.01_L373,,,,,,,,human,,,,,
1.01-points-10,1.01,1.01_L373,e_1.01,2019-08-12T09:35:40,2019-08-12T09:39:31,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_10_1.01_L373,,,,,,,,human,,,,,
1.01-points-11,1.01,1.01_L373,e_1.01,2019-08-12T09:35:40,2019-08-12T09:39:31,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_11_1.01_L373,,,,,,,,human,,,,,
1.01-points-12,1.01,1.01_L373,e_1.01,2019-08-12T09:35:40,2019-08-12T09:39:31,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_12_1.01_L373,,,,,,,,human,,,,,
1.01-points-13,1.01,1.01_L373,e_1.01,2019-08-12T09:35:42,2019-08-12T09:39:34,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_13_1.01_L373,,,,,,,,human,,,,,
1.01-points-14,1.01,1.01_L373,e_1.01,2019-08-12T09:35:42,2019-08-12T09:39:34,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_14_1.01_L373,,,,,,,,human,,,,,
1.01-points-15,1.01,1.01_L373,e_1.01,2019-08-12T09:35:42,2019-08-12T09:39:34,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_15_1.01_L373,,,,,,,,human,,,,,
1.01-points-16,1.01,1.01_L373,e_1.01,2019-08-12T09:35:42,2019-08-12T09:39:34,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_16_1.01_L373,,,,,,,,human,,,,,
1.01-points-17,1.01,1.01_L373,e_1.01,2019-08-12T09:35:42,2019-08-12T09:39:34,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_17_1.01_L373,,,,,,,,human,,,,,
1.01-points-18,1.01,1.01_L373,e_1.01,2019-08-12T09:35:42,2019-08-12T09:39:34,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_18_1.01_L373,,,,,,,,human,,,,,
1.01-points-19,1.01,1.01_L373,e_1.01,2019-08-12T09:35:42,2019-08-12T09:39:34,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_19_1.01_L373,,,,,,,,human,,,,,
1.01-points-20,1.01,1.01_L373,e_1.01,2019-08-12T09:35:58,2019-08-12T09:40:06,media,animal,,37390005.0,nebulosa,1,adult,,,ind_20_1.01_L373,,,,,,,,human,,,,,
1.01-points-21,1.01,1.01_L373,e_1.01,2019-08-12T09:35:58,2019-08-12T09:40:06,media,animal,,37390005.0,nebulosa,1,adult,,,ind_21_1.01_L373,,,,,,,,human,,,,,
1.01-points-22,1.01,1.01_L373,e_1.01,2019-08-12T09:36:36,2019-08-12T09:41:23,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_22_1.01_L373,,,,,,,,human,,,,,
1.01-points-23,1.01,1.01_L373,e_1.01,2019-08-12T09:36:36,2019-08-12T09:41:23,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_23_1.01_L373,,,,,,,,human,,,,,
1.01-points-24,1.01,1.01_L373,e_1.01,2019-08-12T09:36:36,2019-08-12T09:41:23,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_24_1.01_L373,,,,,,,,human,,,,,
1.01-points-25,1.01,1.01_L373,e_1.01,2019-08-12T09:36:36,2019-08-12T09:41:23,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_25_1.01_L373,,,,,,,,human,,,,,
1.01-points-26,1.01,1.01_L373,e_1.01,2019-08-12T09:36:36,2019-08-12T09:41:23,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_26_1.01_L373,,,,,,,,human,,,,,
1.01-points-27,1.01,1.01_L373,e_1.01,2019-08-12T09:36:36,2019-08-12T09:41:23,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_27_1.01_L373,,,,,,,,human,,,,,
1.01-points-28,1.01,1.01_L373,e_1.01,2019-08-12T09:36:36,2019-08-12T09:41:23,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_28_1.01_L373,,,,,,,,human,,,,,
1.01-points-29,1.01,1.01_L373,e_1.01,2019-08-12T09:36:37,2019-08-12T09:41:24,media,animal,,37347012.0,nagasakiensis,1,adult,,,ind_29_1.01_L373,,,,,,,,human,,,,,
