digital_entity_id,digital_entity_type,access_uri,web_statement,format,license,rights,rights_uri,access_rights,rights_holder,source,source_uri,creator,created,modified,language,bibliographic_citation
digent_10.01_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.01_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.02_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.02_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.03_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.03_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.04_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.04_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.07_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.07_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.08_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.08_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.09_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.09_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.11_L372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.11_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.12_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.12_R371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.12_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.13_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.13_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.14_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.14_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.15_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_10.15_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.01_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.01_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.02_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.02_R370,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.03_L367,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.03_R368,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.04_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.04_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.05_L371,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.05_R372,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.06_L378,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_1.06_R377,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_11.01_L375,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_11.01_R376,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_11.02_L373,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_11.02_R374,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
digent_11.03_L369,MOVING_IMAGE,https://data.csiro.au/collection/,,video/x-msvideo,,,,,,,,,,,,
