georeference_id,location_id,decimal_latitude,decimal_longitude,geodetic_datum,coordinate_uncertainty_in_meters,coordinate_precision,point_radius_spatial_fit,footprint_wkt,footprint_srs,footprint_spatial_fit,georeferenced_by,georeferenced_date,georeference_protocol,georeference_sources,georeference_remarks,preferred_spatial_representation
1.01,1.01,-22.84786205,113.5404917,,50,,,,,,,,,,,
1.02,1.02,-22.85016136,113.5252875,,50,,,,,,,,,,,
1.03,1.03,-22.84437,113.51304,,50,,,,,,,,,,,
1.04,1.04,-22.8402743,113.5183981,,50,,,,,,,,,,,
1.05,1.05,-22.83417,113.51601,,50,,,,,,,,,,,
1.06,1.06,-22.83153691,113.523387,,50,,,,,,,,,,,
2.02,2.02,-22.83153691,113.5625852,,50,,,,,,,,,,,
2.03,2.03,-22.82900766,113.5659111,,50,,,,,,,,,,,
2.04,2.04,-22.82440903,113.5815904,,50,,,,,,,,,,,
2.05,2.05,-22.82256957,113.5770767,,50,,,,,,,,,,,
2.06,2.06,-22.82164985,113.5716127,,50,,,,,,,,,,,
2.07,2.07,-22.8191206,113.5640106,,50,,,,,,,,,,,
3.01,3.01,-22.81314238,113.5207738,,50,,,,,,,,,,,
3.02,3.02,-22.81015327,113.5262378,,50,,,,,,,,,,,
3.03,3.03,-22.80693423,113.5338398,,50,,,,,,,,,,,
3.04,3.04,-22.80608,113.51938,,50,,,,,,,,,,,
3.05,3.05,-22.80532471,113.51626,,50,,,,,,,,,,,
3.06,3.06,-22.80463491,113.5105585,,50,,,,,,,,,,,
4.01,4.01,-22.80504,113.49708,,50,,,,,,,,,,,
4.02,4.02,-22.79001,113.51077,,50,,,,,,,,,,,
4.03,4.03,-22.78991929,113.5005807,,50,,,,,,,,,,,
4.08,4.08,-22.78601045,113.4984427,,50,,,,,,,,,,,
4.11,4.11,-22.78371114,113.496067,,50,,,,,,,,,,,
4.12,4.12,-22.78578052,113.4877522,,50,,,,,,,,,,,
5.02,5.02,-22.78253,113.54762,,50,,,,,,,,,,,
5.03,5.03,-22.78303,113.56188,,50,,,,,,,,,,,
5.07,5.07,-22.7727833,113.57245,,50,,,,,,,,,,,
5.08,5.08,-22.76807579,113.5716127,,50,,,,,,,,,,,
5.11,5.11,-22.76278737,113.5723254,,50,,,,,,,,,,,
5.13,5.13,-22.76082,113.58319,,50,,,,,,,,,,,
6.01,6.01,-22.77091,113.53596,,50,,,,,,,,,,,
6.02,6.02,-22.75818,113.55367,,50,,,,,,,,,,,
6.03,6.03,-22.75754,113.54189,,50,,,,,,,,,,,
6.04,6.04,-22.75175065,113.5402541,,50,,,,,,,,,,,
6.05,6.05,-22.7411738,113.5412044,,50,,,,,,,,,,,
6.12,6.12,-22.73059695,113.541917,,50,,,,,,,,,,,
7.01,7.01,-22.73427585,113.5509445,,50,,,,,,,,,,,
7.02,7.02,-22.7317466,113.5533202,,50,,,,,,,,,,,
7.03,7.03,-22.72507859,113.5554582,,50,,,,,,,,,,,
7.04,7.04,-22.72760784,113.5630603,,50,,,,,,,,,,,
7.05,7.05,-22.72875749,113.5732756,,50,,,,,,,,,,,
7.08,7.08,-22.73059695,113.5756513,,50,,,,,,,,,,,
8.01,8.01,-22.71266228,113.5497567,,50,,,,,,,,,,,
8.02,8.02,-22.70277523,113.5559334,,50,,,,,,,,,,,
8.05,8.05,-22.7017,113.57994,,50,,,,,,,,,,,
8.06,8.06,-22.69621,113.58157,,50,,,,,,,,,,,
8.07,8.07,-22.69542,113.57783,,50,,,,,,,,,,,
8.12,8.12,-22.69932625,113.547381,,50,,,,,,,,,,,
9.01,9.01,-22.70139564,113.5359779,,50,,,,,,,,,,,
9.02,9.02,-22.7025453,113.5214865,,50,,,,,,,,,,,
9.05,9.05,-22.69150858,113.5248124,,50,,,,,,,,,,,
9.06,9.06,-22.6931181,113.5319393,,50,,,,,,,,,,,
9.07,9.07,-22.71082283,113.5255251,,50,,,,,,,,,,,
9.08,9.08,-22.71220242,113.5136468,,50,,,,,,,,,,,
10.01,10.01,-22.67587323,113.5564085,,50,,,,,,,,,,,
10.02,10.02,-22.67334399,113.5564085,,50,,,,,,,,,,,
10.03,10.03,-22.66874535,113.5628228,,50,,,,,,,,,,,
10.04,10.04,-22.6669059,113.5518948,,50,,,,,,,,,,,
10.07,10.07,-22.67311405,113.5400165,,50,,,,,,,,,,,
10.08,10.08,-22.67035488,113.5383536,,50,,,,,,,,,,,
