identification_id,organism_id,identification_type,taxon_formula,verbatim_identification,type_status,identified_by,identified_by_id,date_identified,identification_references,identification_verification_status,identification_remarks,type_designation_type,type_designated_by
ind_0_1.01_L373,org_point_0_1.01_L373,human,37384092.0,caudimacula,,,,,,,,,
ind_1_1.01_L373,org_point_1_1.01_L373,human,37390005.0,nebulosa,,,,,,,,,
ind_2_1.01_L373,org_point_2_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_3_1.01_L373,org_point_3_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_4_1.01_L373,org_point_4_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_5_1.01_L373,org_point_5_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_6_1.01_L373,org_point_6_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_7_1.01_L373,org_point_7_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_8_1.01_L373,org_point_8_1.01_L373,human,37390005.0,nebulosa,,,,,,,,,
ind_9_1.01_L373,org_point_9_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_10_1.01_L373,org_point_10_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_11_1.01_L373,org_point_11_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_12_1.01_L373,org_point_12_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_13_1.01_L373,org_point_13_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_14_1.01_L373,org_point_14_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_15_1.01_L373,org_point_15_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_16_1.01_L373,org_point_16_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_17_1.01_L373,org_point_17_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_18_1.01_L373,org_point_18_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_19_1.01_L373,org_point_19_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_20_1.01_L373,org_point_20_1.01_L373,human,37390005.0,nebulosa,,,,,,,,,
ind_21_1.01_L373,org_point_21_1.01_L373,human,37390005.0,nebulosa,,,,,,,,,
ind_22_1.01_L373,org_point_22_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_23_1.01_L373,org_point_23_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_24_1.01_L373,org_point_24_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_25_1.01_L373,org_point_25_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_26_1.01_L373,org_point_26_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_27_1.01_L373,org_point_27_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_28_1.01_L373,org_point_28_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_29_1.01_L373,org_point_29_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_30_1.01_L373,org_point_30_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_31_1.01_L373,org_point_31_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_32_1.01_L373,org_point_32_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_33_1.01_L373,org_point_33_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_34_1.01_L373,org_point_34_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_35_1.01_L373,org_point_35_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_36_1.01_L373,org_point_36_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_37_1.01_L373,org_point_37_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_38_1.01_L373,org_point_38_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_39_1.01_L373,org_point_39_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_40_1.01_L373,org_point_40_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_41_1.01_L373,org_point_41_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_42_1.01_L373,org_point_42_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_43_1.01_L373,org_point_43_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_44_1.01_L373,org_point_44_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_45_1.01_L373,org_point_45_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_46_1.01_L373,org_point_46_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_47_1.01_L373,org_point_47_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_48_1.01_L373,org_point_48_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_49_1.01_L373,org_point_49_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_50_1.01_L373,org_point_50_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_51_1.01_L373,org_point_51_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_52_1.01_L373,org_point_52_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_53_1.01_L373,org_point_53_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_54_1.01_L373,org_point_54_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_55_1.01_L373,org_point_55_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_56_1.01_L373,org_point_56_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_57_1.01_L373,org_point_57_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_58_1.01_L373,org_point_58_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
ind_59_1.01_L373,org_point_59_1.01_L373,human,37347012.0,nagasakiensis,,,,,,,,,
