material_entity_id,material_entity_type,preparations,disposition,institution_code,institution_id,collection_code,collection_id,owner_institution_code,catalog_number,record_number,recorded_by,recorded_by_id,associated_references,associated_sequences,other_catalog_numbers
org_point_0_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_1_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_2_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_3_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_4_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_5_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_6_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_7_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_8_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_9_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_10_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_11_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_12_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_13_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_14_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_15_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_16_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_17_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_18_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_19_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_20_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_21_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_22_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_23_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_24_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_25_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_26_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_27_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_28_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_29_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_30_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_31_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_32_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_33_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_34_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_35_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_36_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_37_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_38_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_39_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_40_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_41_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_42_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_43_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_44_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_45_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_46_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_47_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_48_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_49_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_50_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_51_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_52_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_53_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_54_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_55_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_56_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_57_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_58_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_59_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_60_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_61_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_62_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_63_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_64_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_65_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_66_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_67_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_68_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_69_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_70_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_71_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_72_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_73_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_74_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_75_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_76_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_77_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_78_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_79_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_80_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_81_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_82_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_83_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_84_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_85_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_86_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_87_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_88_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_89_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_90_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_91_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_92_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_93_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_94_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_95_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_96_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_97_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_98_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_99_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_100_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_101_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_102_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_103_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_104_1.01_L373,Organism,,,,,,,,,,,,,,
org_point_0_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_1_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_2_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_3_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_4_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_5_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_6_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_7_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_8_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_9_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_10_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_11_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_12_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_13_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_14_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_15_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_16_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_17_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_18_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_19_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_20_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_21_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_22_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_23_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_24_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_25_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_26_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_27_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_28_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_29_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_30_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_31_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_32_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_33_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_34_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_35_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_36_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_37_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_38_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_39_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_40_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_41_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_42_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_43_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_44_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_45_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_46_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_47_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_48_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_49_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_50_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_51_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_52_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_53_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_54_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_55_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_56_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_57_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_58_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_59_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_60_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_61_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_62_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_63_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_64_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_65_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_66_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_67_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_68_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_69_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_70_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_71_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_72_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_73_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_74_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_75_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_76_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_77_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_78_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_79_1.02_L369,Organism,,,,,,,,,,,,,,
org_point_0_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_1_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_2_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_3_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_4_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_5_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_6_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_7_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_8_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_9_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_10_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_11_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_12_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_13_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_14_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_15_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_16_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_17_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_18_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_19_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_20_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_21_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_22_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_23_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_24_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_25_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_26_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_27_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_28_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_29_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_30_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_31_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_32_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_33_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_34_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_35_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_36_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_37_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_38_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_39_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_40_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_41_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_42_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_43_1.03_L367,Organism,,,,,,,,,,,,,,
org_point_0_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_1_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_2_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_3_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_4_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_5_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_6_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_7_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_8_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_9_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_10_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_11_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_12_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_13_1.04_L375,Organism,,,,,,,,,,,,,,
org_point_14_1.04_L375,Organism,,,,,,,,,,,,,,
